id,title,creator,year,format,category,subcategory,difficulty,credibility,usefulness,status,source_link,tags
from-the-archives-y-combinator-founders-paul-graham-and-jess,From the Archives: Y Combinator Founders Paul Graham and Jessica Livingston on Studio 1.0,Bloomberg Technology,2014,Interview / recorded conversation,Venture Capital and Fundraising,Angel Investing and Accelerators,Beginner,9,10,recommended,https://www.youtube.com/watch?v=SuoPiiUBcOk,YC; accelerators; Paul Graham; Jessica Livingston
the-determinants-of-corporate-venture-capital-success,The Determinants of Corporate Venture Capital Success,Paul Gompers / NBER,2000,Academic paper,Venture Capital and Fundraising,Corporate VC,Advanced,10,9,recommended,https://www.nber.org/system/files/working_papers/w6725/w6725.pdf,CVC; corporate venture; NBER; history
the-next-new-thing-venture-capital-stories,The Next New Thing: Venture Capital Stories,Computer History Museum,2019,Oral history collection,Venture Capital and Fundraising,Hidden Gems and Lesser-Known Historical Material,Intermediate,10,9,recommended,https://computerhistory.org/stories/the-next-new-thing/,oral history; CHM; stories; VC
startup-growth,Startup = Growth,Paul Graham,2012,Essay,Founder Mental Models,Growth philosophy,Beginner,10,9,recommended,https://www.paulgraham.com/growth.html,growth; compounding; startups; PG
the-2026-ai-index-report,The 2026 AI Index Report,Stanford HAI,2026,Report,AI in Practice,State of the field,Intermediate,10,9,recommended,https://hai.stanford.edu/ai-index/2026-ai-index-report,ai-index; trends; 2026; benchmarks
computing-machinery-and-intelligence,Computing Machinery and Intelligence,Alan Turing,1950,Essay,AI Foundations,Origins of AI,Intermediate,10,7,core,https://academic.oup.com/mind/article/LIX/236/433/986238,ai-history; turing-test; philosophy-of-mind; foundational-essay
deep-learning-nature-2015,Deep Learning (Nature review),"Yann LeCun, Yoshua Bengio, Geoffrey Hinton",2015,Paper,AI Foundations,Surveys & Reviews,Intermediate,10,8,recommended,https://www.nature.com/articles/nature14539,deep-learning; survey; backpropagation; foundational-paper
state-of-gpt,State of GPT,Andrej Karpathy,2023,Talk,AI in Practice,LLM Systems,Intermediate,9,9,recommended,https://www.youtube.com/watch?v=bZQun8Y4L2A,llms; rlhf; training-pipeline; talk; applied-ai
zero-to-one,Zero to One,Peter Thiel with Blake Masters,2014,Book,Startup History,Startup Strategy,Beginner,8,9,core,https://www.penguinrandomhouse.com/books/234730/zero-to-one-by-peter-thiel-with-blake-masters/,startups; strategy; monopoly; contrarian-thinking
inventing-on-principle,Inventing on Principle,Bret Victor,2012,Talk,Product and Design,Interaction Design,Beginner,9,8,core,https://vimeo.com/36579366,design; tools; interaction; creativity; classic-talk
mother-of-all-demos,The Mother of All Demos,Douglas Engelbart,1968,Video,Internet and Big Tech History,Computing History,Beginner,10,7,core,https://www.dougengelbart.org/content/view/209/,computing-history; hci; engelbart; augmentation
marty-cagan-on-the-current-golden-era-for-product-management,Marty Cagan on the Current 'Golden Era' for Product Management,Marty Cagan,2024,Interview,Product and Design,Product leadership,Intermediate,9,9,recommended,https://www.youtube.com/watch?v=lu0a-VRkKeY,product management; product strategy; AI era; outcomes
release-it-michael-nygard-trisha-gee-goto-2023,Release It! • Michael Nygard & Trisha Gee • GOTO 2023,"Michael Nygard, Trisha Gee",2023,Talk / interview,Engineering and Systems,Production systems,Advanced,9,9,recommended,https://www.youtube.com/watch?v=BIuBnLTMkfQ,reliability; production systems; resilience; SRE
shape-up,Shape Up,37signals / Basecamp,2019,Book,Product and Design,Product development process,Intermediate,9,9,recommended,https://basecamp.com/shapeup,shape up; product process; basecamp; book
patterns-of-enterprise-application-architecture,Patterns of Enterprise Application Architecture,Martin Fowler and collaborators,2002,Book / reference,Engineering and Systems,Architecture,Advanced,10,8,recommended,https://martinfowler.com/books/eaa.html,architecture; patterns; enterprise; book
crossing-the-chasm,Crossing the Chasm,Geoffrey A. Moore,2014,Book,Startup History,Market adoption,Intermediate,9,9,recommended,https://www.harpercollins.com/products/crossing-the-chasm-3rd-edition-geoffrey-a-moore,gtm; adoption; market entry; book
startup-school,Startup School,Y Combinator,2022,Course,Startup History,Startup curriculum,Beginner,9,9,recommended,https://www.ycombinator.com/blog/startup-school,yc; course; founders; startup
creative-capital-georges-doriot-and-the-birth-of-venture-cap,Creative Capital: Georges Doriot and the Birth of Venture Capital,Spencer E. Ante / Harvard Business Press,2008,Book,Venture Capital and Fundraising,Origins of Venture Capital,Intermediate,9,9,recommended,https://books.google.com/books/about/Creative_Capital.html?id=Pex8b-qNoL8C,Doriot; ARD; origin; biography
how-venture-capital-works,How Venture Capital Works,Harvard Business Review,1998,Article,Venture Capital and Fundraising,Startup Financing and Fundraising History,Beginner,9,9,recommended,https://hbr.org/1998/11/how-venture-capital-works,VC basics; HBR; funds; exits
financing-new-ideas,Financing New Ideas,Harvard Business School / Georges F. Doriot exhibit,2010,Historical exhibit / essay,Venture Capital and Fundraising,Origins of Venture Capital,Beginner,10,8,recommended,https://www.library.hbs.edu/hc/doriot/innovation-vc/financing-new-ideas/,ARD; Doriot; HBS; history
origins-of-high-tech-venture-investing-in-america,Origins of High-Tech Venture Investing in America,Tom Nicholas / Harvard Business School,2016,Working paper,Venture Capital and Fundraising,Origins of Venture Capital,Advanced,10,8,recommended,https://www.hbs.edu/ris/Publication%20Files/VC_Tech_4b7a1b2a-ef2a-4867-a41e-2ba84cb120f2.pdf,history; technology; capital; origins
sequoia-capital-part-1,Sequoia Capital (Part 1),Acquired,2019,Podcast episode / long-form audio,Venture Capital and Fundraising,Major Firms and Legendary Investors,Intermediate,9,9,recommended,https://www.acquired.fm/episodes/sequoia-capital-part-1,Sequoia; Acquired; firm history; VC
chris-douvos-limited-partners-and-funds-of-funds,Chris Douvos: Limited Partners and Funds of Funds,Stanford / Entrepreneurship Through the Lens of Venture Capital,2015,Recorded lecture,Venture Capital and Fundraising,LP/GP Fundraising History,Intermediate,9,9,recommended,https://www.youtube.com/watch?v=sFGX2iPxc9Y,LP; fund of funds; Stanford; fundraising
dalton-caldwell-incubators-accelerators-and-y-combinator,"Dalton Caldwell: Incubators, Accelerators, and Y Combinator",Stanford,2015,Recorded lecture,Venture Capital and Fundraising,Angel Investing and Accelerators,Intermediate,9,9,recommended,https://www.youtube.com/watch?v=evATPGQq3oc,YC; accelerator; incubator; Stanford
the-entrepreneurial-state,The Entrepreneurial State,Mariana Mazzucato,2013,Book,Venture Capital and Fundraising,VC Critiques and Controversies,Intermediate,9,9,recommended,https://marianamazzucato.com/books/the-entrepreneurial-state/,critique; state; innovation policy; VC
pioneers-of-venture-capital,Pioneers of Venture Capital,Computer History Museum,2002,Recorded panel,Venture Capital and Fundraising,Hidden Gems and Lesser-Known Historical Material,Intermediate,10,8,recommended,https://www.youtube.com/watch?v=ult7VFgxiKo,pioneers; VC history; panel; Silicon Valley
high-output-management,High Output Management,Andy Grove,1983,Book,Founder Mental Models,Management,Intermediate,9,9,recommended,,management; intel; leverage; operations
amazon-shareholder-letters,Amazon Shareholder Letters,Jeff Bezos,1997,Letters,Startup History,Operating philosophy,Beginner,9,9,recommended,https://www.aboutamazon.com/news/company-news/2020-letter-to-shareholders,amazon; bezos; operating; long-term
7-powers-the-foundations-of-business-strategy,7 Powers: The Foundations of Business Strategy,Hamilton Helmer,2016,Book,Startup History,Moats & strategy,Intermediate,9,9,recommended,,strategy; moats; competition; frameworks
aggregation-theory,Aggregation Theory,Ben Thompson (Stratechery),2015,Essay,Startup History,Platform strategy,Intermediate,9,9,recommended,https://stratechery.com/2015/aggregation-theory/,aggregation; platforms; stratechery; strategy
bitcoin-a-peer-to-peer-electronic-cash-system,Bitcoin: A Peer-to-Peer Electronic Cash System,Satoshi Nakamoto,2008,Whitepaper,Crypto and Web3,Origins,Intermediate,10,8,recommended,https://bitcoin.org/bitcoin.pdf,bitcoin; blockchain; cryptography; whitepaper
chip-war-the-fight-for-the-world-s-most-critical-technology,Chip War: The Fight for the World's Most Critical Technology,Chris Miller,2022,Book,Hardware and Compute,Geopolitics of semiconductors,Intermediate,9,9,recommended,,semiconductors; tsmc; geopolitics; supply-chain
ai-engineering-building-applications-with-foundation-models,AI Engineering: Building Applications with Foundation Models,Chip Huyen,2025,Book,AI in Practice,Building with AI,Intermediate,9,9,recommended,,ai-engineering; rag; agents; evaluation
alexnet-imagenet-2012,ImageNet Classification with Deep Convolutional Neural Networks (AlexNet),"Alex Krizhevsky, Ilya Sutskever, Geoffrey Hinton",2012,Paper,AI Foundations,Deep Learning Architectures,Advanced,10,7,recommended,https://papers.nips.cc/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html,deep-learning; computer-vision; cnn; foundational-paper; imagenet
andrew-ng-machine-learning,Machine Learning (Stanford CS229 / Coursera),Andrew Ng,2011,Course,AI Foundations,Fundamentals,Intermediate,9,8,recommended,https://www.coursera.org/specializations/machine-learning-introduction,machine-learning; fundamentals; course; supervised-learning
mythical-man-month,The Mythical Man-Month,Fred Brooks,1975,Book,Engineering and Systems,Software Project Management,Beginner,9,8,recommended,,software-engineering; management; classic; team-building
concurrency-is-not-parallelism,Concurrency Is Not Parallelism,Rob Pike,2012,Talk,Engineering and Systems,Concurrency,Intermediate,9,8,recommended,https://go.dev/blog/waza-talk,concurrency; parallelism; go; talk; systems
time-clocks-ordering-lamport,"Time, Clocks, and the Ordering of Events in a Distributed System",Leslie Lamport,1978,Paper,Engineering and Systems,Distributed Systems,Advanced,10,7,recommended,https://lamport.azurewebsites.net/pubs/time-clocks.pdf,distributed-systems; logical-clocks; foundational-paper; theory
end-to-end-arguments,End-to-End Arguments in System Design,"J. Saltzer, D. Reed, D. Clark",1984,Paper,Engineering and Systems,System Design Principles,Advanced,10,7,reviewed,https://web.mit.edu/Saltzer/www/publications/endtoend/endtoend.pdf,system-design; internet-architecture; foundational-paper; principles
sicp,Structure and Interpretation of Computer Programs (SICP),"Harold Abelson, Gerald Jay Sussman, Julie Sussman",1985,Book,Engineering and Systems,Programming Foundations,Advanced,10,7,recommended,https://mitpress.mit.edu/9780262510875/structure-and-interpretation-of-computer-programs/,programming; abstraction; computer-science; classic-textbook
makers-schedule-managers-schedule,"Maker's Schedule, Manager's Schedule",Paul Graham,2009,Essay,Founder Mental Models,Productivity & Focus,Beginner,9,8,recommended,https://paulgraham.com/makersschedule.html,productivity; focus; deep-work; essay
inspired-cagan,Inspired: How to Create Tech Products Customers Love,Marty Cagan,2017,Book,Product and Design,Product Management,Intermediate,8,9,recommended,https://www.wiley.com/en-us/INSPIRED%3A+How+to+Create+Tech+Products+Customers+Love%2C+2nd+Edition-p-9781119387503,product-management; product-discovery; teams; tech-products
secrets-of-sand-hill-road,Secrets of Sand Hill Road,Scott Kupor,2019,Book,Venture Capital and Fundraising,How VC Works,Intermediate,8,9,recommended,,venture-capital; fundraising; term-sheets; fund-economics
venture-deals,Venture Deals,"Brad Feld, Jason Mendelson",2011,Book,Venture Capital and Fundraising,Term Sheets & Mechanics,Intermediate,8,9,recommended,,venture-capital; term-sheets; negotiation; fundraising
as-we-may-think,As We May Think,Vannevar Bush,1945,Essay,Internet and Big Tech History,Foundational Vision,Intermediate,10,7,recommended,https://www.theatlantic.com/magazine/archive/1945/07/as-we-may-think/303881/,internet-history; memex; hypertext; foundational-essay
the-computer-chronicles-the-internet-1993,The Computer Chronicles - The Internet (1993),The Computer Chronicles,1993,TV episode,Documentary and Long-Form Media,Web history,Beginner,9,8,recommended,https://www.youtube.com/watch?v=U_o8gerare0,internet history; early web; Computer Chronicles; archival video
the-machine-that-changed-the-world-episode-1-great-brains,The Machine That Changed the World - Episode 1: Great Brains,WGBH / BBC,1992,Documentary episode,Documentary and Long-Form Media,Computer history documentary,Beginner,9,8,recommended,https://www.youtube.com/watch?v=gOx3TKl-ScU,computer history; documentary; pioneers; hardware
the-machine-that-changed-the-world-episode-2-inventing-the-f,The Machine That Changed the World - Episode 2: Inventing the Future,WGBH / BBC,1992,Documentary episode,Documentary and Long-Form Media,Historical computing demo,Beginner,9,8,recommended,https://www.youtube.com/watch?v=8KnkeON3UEE,computer history; documentary; software; personal computing
inside-apple-software-design,Inside Apple Software Design,a16z / Ken Kocienda,2019,Podcast interview,Product and Design,Interview / software history,Intermediate,9,8,recommended,https://a16z.com/podcast/inside-apple-software-design/,apple; software design; interview; podcast
design-thinking-human-centered-innovation,Design Thinking: Human-Centered Innovation,IDEO,,Article / resource hub,Product and Design,Human-centered design,Beginner,9,8,recommended,https://designthinking.ideo.com/,design thinking; ideo; human-centered; framework
andrew-ng-building-faster-with-ai,Building Faster with AI,Andrew Ng,,Talk,AI in Practice,Building with AI,Intermediate,9,8,recommended,https://www.youtube.com/watch?v=RNJCfif1dPY,applied-ai; agents; productivity; andrew-ng; building
a-survey-of-venture-capital-research,A survey of venture capital research,"Marco Da Rin, Thomas Hellmann, Manju Puri / NBER",2011,Survey article,Venture Capital and Fundraising,Core Historical Foundations,Advanced,9,8,recommended,https://www.nber.org/system/files/working_papers/w17523/w17523.pdf,survey; research; venture capital; NBER
roundtable-summary-towards-a-better-aligned-private-equity-w,Roundtable Summary: Towards a Better Aligned Private Equity World: Perspectives of Limited and General Partners,Harvard Business School / ILPA,2016,Roundtable summary,Venture Capital and Fundraising,LP/GP Fundraising History,Intermediate,9,8,recommended,https://www.hbs.edu/private-capital/Documents/ILPA-PCRI-Roundtable-2016.pdf,alignment; LPs; governance; private equity
venture-capital-angel-financing-and-crowdfunding-of-entrepre,"Venture capital, angel financing, and crowdfunding of entrepreneurial ventures: a literature review","Johannes Wallmeroth, Peter Wirtz, Alexander Peter Groh",2018,Literature review,Venture Capital and Fundraising,Angel Investing and Accelerators,Advanced,9,8,recommended,https://ideas.repec.org/a/now/fntent/0300000066.html,angel investing; crowdfunding; literature review; finance
corporate-venture-capital-as-a-real-option-in-the-markets-fo,Corporate Venture Capital as a Real Option in the Markets for Technology,M. Ceccagnoli et al. / NBER,2015,Academic paper,Venture Capital and Fundraising,Corporate VC,Advanced,9,8,recommended,https://www.nber.org/system/files/working_papers/w21424/w21424.pdf,CVC; real options; technology; strategy
have-secondaries-reached-a-tipping-point,Have Secondaries Reached a Tipping Point?,Bain & Company,2024,Report / article,Venture Capital and Fundraising,Secondary Markets and Continuation Funds,Intermediate,9,8,recommended,https://www.bain.com/insights/have-secondaries-reached-a-tipping-point-global-private-equity-report-2024/,secondaries; liquidity; Bain; private markets
secondary-market-2024-recap-outlook-for-2025,Secondary Market: 2024 Recap & Outlook for 2025,Coller Capital,2024,Industry report / interview,Venture Capital and Fundraising,Secondary Markets and Continuation Funds,Intermediate,9,8,recommended,https://www.collercapital.com/2024-market-recap-2025-outlook/,continuation funds; secondaries; Coller; GP-led
